11:54:36:020 [WARN]	SSL certificate signed by unknown CA
11:54:36:023 [WARN]	SSL certificate signed by unknown CA
11:54:36:024 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:025 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:033 [WARN]	SSL certificate signed by unknown CA
11:54:36:033 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:033 [WARN]	SSL certificate signed by unknown CA
11:54:36:033 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:041 [WARN]	SSL certificate signed by unknown CA
11:54:36:041 [WARN]	SSL certificate signed by unknown CA
11:54:36:041 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:041 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:048 [WARN]	SSL certificate signed by unknown CA
11:54:36:048 [WARN]	SSL certificate signed by unknown CA
11:54:36:048 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:049 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
11:54:36:056 [WARN]	SSL certificate signed by unknown CA
11:54:36:056 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
